'arf             	fél/fele         
amatory          	szerelmi/érzéki  
amaze            	ámulatba ejt     
amazed           	meghökkent       
amazement        	elképedés        
amazing          	különleges       
ambassador       	nagykövet        
ambassadress     	nagykövetnõ      
amber            	borostyánsárga   
ambergris        	ámbra            
ambidextrous     	kétkezes         
ambience         	környezet        
ambient          	környezõ         
ambiguity        	félreérthetõség  
ambiguous        	bizonytalan      
ambit            	környék          
ambition         	becsvágy         
ambitious        	becsvágyó        
ambivalent       	kétértékû        
ambrosia         	istenek eledele  
ambulance        	mentõautó        
ambush           	les(ben állás)   
ameliorate       	jobbá tesz       
amen             	úgy legyen       
amenable         	irányítható      
amend            	jobbít           
amendment        	módosítás        
amends           	kárpótlás        
amenity          	kellem(esség)    
america          	amerika          
american         	amerikai         
american cloth   	viaszosvászon    
american english 	amerikai angol   
american indian  	indián           
american leather 	viaszosvászon    
american leopard 	jaguár           
american mink    	vidramenyét      
american organ   	harmónium        
americanism      	amerikanizmus    
amiability       	szeretetreméltósá
amiable          	szeretetre méltó 
amicable         	barátságos       
amicably         	barátilag        
amid             	közte            
amidst           	közepette        
amiss            	helytelenül      
amity            	barátság         
ammeter          	ampermérõ        
amnesia          	emlékezetkiesés  
amnesty          	közkegyelem      
amoeba           	amõba            
among            	között           
amoral           	erkölcstelen     
amorous          	szerelmi         
amorphous        	alaktalan        
amortization     	amortizáció      
amortize         	(le)törleszt     
amount           	mennyiség        
amour            	szerelmi ügy/visz
amp              	amper            
ampere           	amper            
ampersand        	&                
amphibian        	kétéltû          
amphibious       	kétéltû          
amphitheater     	körszínház       
amphitheatre     	körszínház       
ample            	bõ(séges)        
ampleness        	bõség            
amplification    	erõsítés         
amplifier        	erõsítõ          
amplify          	erõsít           
amplitude        	amplitúdó        
amply            	bõségesen        
ampoule          	ampulla          
amputate         	amputál          
amputation       	amputálás        
amulet           	talizmán         
amuse            	szórakoztatni    
amuse oneself    	jól érzi magát   
amusement        	szórakoztatás    
amusement park   	vidámpark        
amusing          	szórakoztató     
an               	egy              
an act of grace  	szívesség        
an ear of corn   	egy csõ kukorica 
an early bird    	koránkelõ        
an early reply   	mielõbbi válasz  
an early riser   	koránkelõ        
an early stirrer 	koránkelõ        
an end in itself 	öncél            
an extra bed     	pótágy           
an hour          	egy óra          
an old boy       	öreg fiú         
an organic whole 	szerves egész    
an the average   	átlagosan        
an unlicked cub  	faragatlan fickó 
anaconda         	óriáskígyó       
anaesthetic      	érzéstelenítõ    
anal             	végbél           
analogous        	hasonló          
analogously      	hasonlóság alapjá
analogue         	hasonmása        
analogy          	hasonlóság       
analyse          	elemez           
analysis         	elemzés          
analyst          	vegyelemzõ       
